TaskID,Task_Description,Keywords,Due_Days,Priority_Score
383,Fix a leaky faucet,"fix,leaky,faucet,household",2,3
384,Fix a leaky faucet in the kitchen or bathroom,"fix,leaky,faucet,kitchen,bathroom,household",3,3
385,Practice mindfulness meditation,"practice,mindfulness,meditation,health",6,0
386,Avoid sugary snacks and opt for healthier alternatives,"avoid,sugary,snacks,healthier,alternatives,health",4,0
387,Join a wellness program to focus on self-care,"join,wellness,program,self-care,health",5,0
388,Take the stairs instead of the elevator for better health,"take,stairs,elevator,health",2,0
389,Conduct a team meeting to discuss quarterly goals,"conduct,team,meeting,quarterly,goals,work",5,4
390,Do a 10-minute morning stretch routine,"do,10-minute,morning,stretch,routine,health",5,0
391,Write a short story based on a dream,"write,short,story,dream,education",3,2
392,Replace one meal with a healthy salad,"replace,meal,healthy,salad,health",5,0
393,Attend a virtual industry conference,"attend,virtual,industry,conference,work",5,4
394,Perform a simple stretching routine,"perform,stretching,routine,health",6,0
395,Clean out your email inbox and organize folders,"clean,email,inbox,organize,personal",5,5
396,Sort through old clothes and donate to charity,"sort,old,clothes,donate,charity,household",2,3
397,Schedule an eye check-up,"schedule,eye,checkup,health",4,0
398,Do a 30-day yoga challenge to improve flexibility,"30-day,yoga,challenge,flexibility,personal",6,5
399,Read a business case study,"read,business,case,study,work",5,4
400,Have a nutritious snack with fruits and nuts,"nutritious,snack,fruits,nuts,health",2,0
401,Fix plumbing issues like a leaky faucet,"fix,plumbing,issues,leaky,faucet,household",2,3
402,Participate in a community walk for charity,"participate,community,walk,charity,health",2,0
403,Tidy up the home office for a productive workday,"tidy,home,office,productive,workday",4,3
404,Plan a weekend getaway for relaxation,"plan,weekend,getaway,relaxation,personal",7,5
405,Organize a client feedback session for a product,"organize,client,feedback,session,product,work",3,4
406,Clean air conditioner filters for better air quality,"clean,air,conditioner,filters,air,quality,household",4,3
407,Attend a leadership workshop for career growth,"attend,leadership,workshop,career,growth,work",3,4
408,Read a chapter from the chemistry textbook,"read,chapter,chemistry,textbook,education",6,2
409,Learn a new work-related skill,"learn,new,work-related,skill,work",4,4
410,Try a new healthy smoothie recipe,"try,new,healthy,smoothie,recipe,health",2,0
411,Do laundry and fold clothes,"laundry,fold,clothes,household",2,4
412,Participate in a coding hackathon,"participate,coding,hackathon,education",6,2
413,Donate old clothes and shoes,"donate,old,clothes,shoes,household",5,3
414,Do a 5-minute cold shower challenge,"do,5-minute,cold,shower,challenge,health",4,0
415,Review the latest industry trends for an upcoming meeting,"review,industry,trends,meeting,work",3,4
416,Organize the workspace for better efficiency,"organize,workspace,efficiency,work",6,4
417,Make a doctor's appointment for a routine check-up,"make,doctor's,appointment,routine,check-up,health",5,0
418,Listen to a podcast on world history,"listen,podcast,world,history,education",2,2
419,Spend time with family and have a movie night,"spend,time,family,movie,night,personal",6,5
420,Learn basic coding in a new language,"learn,coding,new,language,education",5,2
421,Dust and clean ceiling fans,"dust,clean,ceiling,fans,household",5,3
422,Revise past coursework for better understanding,"revise,past,coursework,understanding,education",6,2
423,Work on an academic project for university,"work,academic,project,university,education",4,2
424,Organize your home desk and file important documents,"organize,home,desk,file,documents,household",6,3
425,Update LinkedIn profile with recent achievements,"update,linkedin,profile,achievements,work",5,4
426,Clean the window blinds and curtains in the living room,"clean,window,blinds,curtains,living,room,household",2,3
427,Write down three things you are grateful for,"write,three,things,grateful,personal",3,5
428,Update project plans and allocate resources,"update,project,plans,allocate,resources,work",2,4
429,Plan goals for the next work quarter,"plan,goals,next,work,quarter,work",3,4
430,Deep clean the refrigerator,"deep,clean,refrigerator,household",6,3
431,Try a 24-hour no-sugar challenge,"try,24-hour,no-sugar,challenge,health",4,0
432,Join a fitness bootcamp for an intense workout experience,"join,fitness,bootcamp,intense,workout,health",1,0
433,Attend a work-related seminar on leadership,"attend,seminar,leadership,work",4,4
434,Organize and back up phone photos,"organize,back up,phone,photos,personal",5,5
435,Rearrange furniture in the living room for a fresh look,"rearrange,furniture,living,room,fresh,look,household",3,3
436,Take notes from an online course,"take,notes,online,course,education",3,2
437,Refine presentation skills for meetings,"refine,presentation,skills,meetings,work",6,4
438,Organize a game night with friends,"organize,game,night,friends,personal",4,5
439,Mentor a junior colleague at work,"mentor,junior,colleague,work",5,4
440,Start a book club with friends to discuss interesting reads,"start,book,club,friends,interesting,reads,personal",6,5
441,Prepare for a math exam by practicing problem sets,"prepare,math,exam,practice,problem,sets,education",5,2
442,Watch a feel-good movie,"watch,movie,relaxation,personal",5,5
443,Collaborate on a team project for work,"collaborate,team,project,work",5,4
444,Create a vision board for future goals,"create,vision,board,future,goals,personal",3,5
445,Vacuum carpets and rugs,"vacuum,carpets,rugs,household",2,3
446,Learn a new software tool for work,"learn,new,software,tool,work",5,4
447,Complete a crossword or Sudoku puzzle,"complete,crossword,Sudoku,puzzle,education",2,2
448,Do a strength training session,"do,strength,training,session,health",2,0
449,Research competitors' business strategies,"research,competitors,business,work",4,4
450,Go for a morning jog,"go,morning,jog,health",2,0
451,Sort mail and discard unnecessary papers,"sort,mail,discard,papers,household",3,3
452,Listen to a podcast on leadership,"listen,podcast,leadership,education",2,2
453,Repaint a room or furniture piece,"repaint,room,furniture,household",5,3
454,Practice good posture for back health,"practice,good,posture,back,health,health",6,0
455,Send appreciation emails to colleagues,"send,appreciation,emails,colleagues,work",5,4
456,Clean the ceiling fans and light fixtures,"clean,ceiling,fans,light,fixtures,household",5,3
457,Take a weekend trip for a change of scenery and relaxation,"weekend,trip,scenery,relaxation,personal",4,5
458,Review and update your resume for job opportunities,"review,update,resume,job,opportunities",2,1
459,Complete the quarterly report for the department,"complete,quarterly,report,department,work",5,4
460,Fix any minor home damages or scratches,"fix,minor,home,damages,scratches,household",6,3
461,Read a self-improvement book for personal growth,"read,self-improvement,book,personal,growth,personal",6,5
462,Study a new topic in psychology,"study,new,topic,psychology,education",2,2
463,Review company financial statements,"review,company,financial,statements,work",4,4
464,Schedule a team meeting to discuss project progress,"schedule,team,meeting,project,progress,work",1,4
465,Take a yoga class for flexibility and relaxation,"take,yoga,class,flexibility,relaxation,health",3,0
466,Drink at least 8 glasses of water,"drink,8,glasses,water,health",2,0
467,Deep clean the refrigerator,"deep,clean,refrigerator,household",4,3
468,Take a walk in nature to reduce stress and improve mental health,"walk,nature,reduce,stress,mental,health",2,0
469,Write in a journal to reflect on the day,"write,journal,reflect,personal",2,5
470,Write a blog post on an industry trend,"write,blog,post,industry,trend,work",2,4
471,Organize and delete unnecessary files on your phone,"organize,delete,unnecessary,files,phone,personal",5,5
472,Volunteer for a cause you care about,"volunteer,cause,care,personal",7,5
473,Declutter and donate old furniture,"declutter,donate,old,furniture,household",2,3
474,Get a cholesterol test to monitor heart health,"get,cholesterol,test,monitor,heart,health,health",3,0
475,Do a digital detox and stay offline for a day,"digital,detox,offline,personal",5,5
476,Schedule a doctor's appointment for a health checkup,"schedule,doctor,appointment,health,checkup",1,0
477,Call an old friend and catch up,"call,old,friend,catch up,personal",6,5
478,Watch an educational documentary,"watch,educational,documentary,education",6,2
479,Create a productivity schedule for tasks,"create,productivity,schedule,tasks,work",6,4
480,Read a fiction novel for leisure,"read,fiction,novel,leisure,personal",5,5
481,Research an interesting historical event,"research,interesting,historical,event,education",3,2
482,Do a deep cleaning of the kitchen appliances,"deep,cleaning,kitchen,appliances,household",4,3
483,Do a random act of kindness for someone,"do,random,act,kindness,personal",4,5
484,Do a yoga session for flexibility and stress relief,"yoga,flexibility,stress,health",4,0
485,Schedule a one-on-one meeting with a mentor,"schedule,one-on-one,meeting,mentor,work",4,4
486,Write a follow-up email for a business proposal,"write,follow-up,email,business,proposal,work",2,4
487,Create a vision board for career goals,"create,vision,board,career,goals,work",6,4
488,Read about an important historical figure,"read,important,historical,figure,education",2,2
489,Read a research paper on quantum computing,"read,research,paper,quantum,computing,education",2,2
490,Sew a torn piece of clothing instead of replacing it,"sew,torn,clothing,instead,replacing,household",5,3
491,Reorganize the tool shed or garage,"reorganize,tool,shed,garage,household",5,3
492,Visit a museum or art gallery for a cultural experience,"visit,museum,art,gallery,cultural,experience,personal",5,5
493,Organize the laundry area for better efficiency,"organize,laundry,area,better,efficiency,household",4,3
494,Dust and wipe down all surfaces in the house,"dust,wipe,down,surfaces,household",4,3
495,Write a letter to your future self,"write,letter,future,self,personal",5,5
496,Plan an office reorganization for efficiency,"plan,office,reorganization,efficiency,work",3,4
497,Prepare for a career advancement interview,"prepare,career,advancement,interview",4,2
498,Declutter the bathroom shelves,"declutter,bathroom,shelves,household",3,3
499,Host a small gathering with close friends,"host,small,gathering,close,friends,personal",5,5
500,Practice breathing exercises for relaxation,"practice,breathing,exercises,relaxation,health",2,0
