TaskID,Task_Description,Keywords,Due_Days,Priority_Score
451,Join a Zumba class,"Zumba, Dance, Exercises",2,6
452,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
453,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
454,Write in a journal,"Journaling, Writing, Personal",4,3
455,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
456,Call a family member,"Family, Personal, Communication",3,2
457,Organize digital photo albums,"Photos, Organizing, Personal",5,4
458,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
459,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
460,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
461,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
462,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
463,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
464,Draft an email to the client,"Email, Client, Work",1,5
465,Prepare a weekly progress report,"Progress Report, Work",2,7
466,Attend the project status meeting,"Meeting, Project, Work",3,6
467,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
468,Update the task management system,"Task Management, Updates, Work",4,5
469,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
470,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
471,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
472,Pay utility bills,"Bills, Utilities, Household",1,3
473,Water the plants,"Gardening, Plants, Household",4,2
474,Book a routine health checkup,"Health, Checkup, Appointment",1,4
475,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
476,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
477,Consult a dietitian,"Dietitian, Health, Advice",1,4
478,Track daily water intake,"Hydration, Health, Tracking",4,2
479,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
480,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
481,Join a Zumba class,"Zumba, Dance, Exercises",2,6
482,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
483,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
484,Write in a journal,"Journaling, Writing, Personal",4,3
485,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
486,Call a family member,"Family, Personal, Communication",3,2
487,Organize digital photo albums,"Photos, Organizing, Personal",5,4
488,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
489,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
490,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
491,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
492,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
493,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
494,Draft an email to the client,"Email, Client, Work",1,5
495,Prepare a weekly progress report,"Progress Report, Work",2,7
496,Attend the project status meeting,"Meeting, Project, Work",3,6
497,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
498,Update the task management system,"Task Management, Updates, Work",4,5
499,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
500,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
501,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
502,Pay utility bills,"Bills, Utilities, Household",1,3
503,Water the plants,"Gardening, Plants, Household",4,2
504,Book a routine health checkup,"Health, Checkup, Appointment",1,4
505,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
506,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
507,Consult a dietitian,"Dietitian, Health, Advice",1,4
508,Track daily water intake,"Hydration, Health, Tracking",4,2
509,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
510,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
511,Join a Zumba class,"Zumba, Dance, Exercises",2,6
512,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
513,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
514,Write in a journal,"Journaling, Writing, Personal",4,3
515,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
516,Call a family member,"Family, Personal, Communication",3,2
517,Organize digital photo albums,"Photos, Organizing, Personal",5,4
518,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
519,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
520,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
521,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
522,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
523,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
524,Draft an email to the client,"Email, Client, Work",1,5
525,Prepare a weekly progress report,"Progress Report, Work",2,7
526,Attend the project status meeting,"Meeting, Project, Work",3,6
527,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
528,Update the task management system,"Task Management, Updates, Work",4,5
529,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
530,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
531,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
532,Pay utility bills,"Bills, Utilities, Household",1,3
533,Water the plants,"Gardening, Plants, Household",4,2
534,Book a routine health checkup,"Health, Checkup, Appointment",1,4
535,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
536,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
537,Consult a dietitian,"Dietitian, Health, Advice",1,4
538,Track daily water intake,"Hydration, Health, Tracking",4,2
539,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
540,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
541,Join a Zumba class,"Zumba, Dance, Exercises",2,6
542,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
543,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
544,Write in a journal,"Journaling, Writing, Personal",4,3
545,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
546,Call a family member,"Family, Personal, Communication",3,2
547,Organize digital photo albums,"Photos, Organizing, Personal",5,4
548,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
549,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
550,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
551,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
552,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
553,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
554,Draft an email to the client,"Email, Client, Work",1,5
555,Prepare a weekly progress report,"Progress Report, Work",2,7
556,Attend the project status meeting,"Meeting, Project, Work",3,6
557,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
558,Update the task management system,"Task Management, Updates, Work",4,5
559,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
560,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
561,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
562,Pay utility bills,"Bills, Utilities, Household",1,3
563,Water the plants,"Gardening, Plants, Household",4,2
564,Book a routine health checkup,"Health, Checkup, Appointment",1,4
565,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
566,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
567,Consult a dietitian,"Dietitian, Health, Advice",1,4
568,Track daily water intake,"Hydration, Health, Tracking",4,2
569,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
570,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
571,Join a Zumba class,"Zumba, Dance, Exercises",2,6
572,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
573,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
574,Write in a journal,"Journaling, Writing, Personal",4,3
575,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
576,Call a family member,"Family, Personal, Communication",3,2
577,Organize digital photo albums,"Photos, Organizing, Personal",5,4
578,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
579,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
580,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
581,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
582,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
583,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
584,Draft an email to the client,"Email, Client, Work",1,5
585,Prepare a weekly progress report,"Progress Report, Work",2,7
586,Attend the project status meeting,"Meeting, Project, Work",3,6
587,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
588,Update the task management system,"Task Management, Updates, Work",4,5
589,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
590,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
591,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
592,Pay utility bills,"Bills, Utilities, Household",1,3
593,Water the plants,"Gardening, Plants, Household",4,2
594,Book a routine health checkup,"Health, Checkup, Appointment",1,4
595,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
596,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
597,Consult a dietitian,"Dietitian, Health, Advice",1,4
598,Track daily water intake,"Hydration, Health, Tracking",4,2
599,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
600,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
601,Join a Zumba class,"Zumba, Dance, Exercises",2,6
602,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
603,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
604,Write in a journal,"Journaling, Writing, Personal",4,3
605,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
606,Call a family member,"Family, Personal, Communication",3,2
607,Organize digital photo albums,"Photos, Organizing, Personal",5,4
608,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
609,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
610,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
611,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
612,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
613,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
614,Draft an email to the client,"Email, Client, Work",1,5
615,Prepare a weekly progress report,"Progress Report, Work",2,7
616,Attend the project status meeting,"Meeting, Project, Work",3,6
617,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
618,Update the task management system,"Task Management, Updates, Work",4,5
619,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
620,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
621,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
622,Pay utility bills,"Bills, Utilities, Household",1,3
623,Water the plants,"Gardening, Plants, Household",4,2
624,Book a routine health checkup,"Health, Checkup, Appointment",1,4
625,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
626,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
627,Consult a dietitian,"Dietitian, Health, Advice",1,4
628,Track daily water intake,"Hydration, Health, Tracking",4,2
629,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
630,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
631,Join a Zumba class,"Zumba, Dance, Exercises",2,6
632,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
633,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
634,Write in a journal,"Journaling, Writing, Personal",4,3
635,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
636,Call a family member,"Family, Personal, Communication",3,2
637,Organize digital photo albums,"Photos, Organizing, Personal",5,4
638,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
639,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
640,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
641,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
642,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
643,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
644,Draft an email to the client,"Email, Client, Work",1,5
645,Prepare a weekly progress report,"Progress Report, Work",2,7
646,Attend the project status meeting,"Meeting, Project, Work",3,6
647,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
648,Update the task management system,"Task Management, Updates, Work",4,5
649,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
650,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
651,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
652,Pay utility bills,"Bills, Utilities, Household",1,3
653,Water the plants,"Gardening, Plants, Household",4,2
654,Book a routine health checkup,"Health, Checkup, Appointment",1,4
655,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
656,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
657,Consult a dietitian,"Dietitian, Health, Advice",1,4
658,Track daily water intake,"Hydration, Health, Tracking",4,2
659,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
660,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
661,Join a Zumba class,"Zumba, Dance, Exercises",2,6
662,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
663,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
664,Write in a journal,"Journaling, Writing, Personal",4,3
665,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
666,Call a family member,"Family, Personal, Communication",3,2
667,Organize digital photo albums,"Photos, Organizing, Personal",5,4
668,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
669,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
670,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
671,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
672,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
673,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
674,Draft an email to the client,"Email, Client, Work",1,5
675,Prepare a weekly progress report,"Progress Report, Work",2,7
676,Attend the project status meeting,"Meeting, Project, Work",3,6
677,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
678,Update the task management system,"Task Management, Updates, Work",4,5
679,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
680,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
681,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
682,Pay utility bills,"Bills, Utilities, Household",1,3
683,Water the plants,"Gardening, Plants, Household",4,2
684,Book a routine health checkup,"Health, Checkup, Appointment",1,4
685,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
686,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
687,Consult a dietitian,"Dietitian, Health, Advice",1,4
688,Track daily water intake,"Hydration, Health, Tracking",4,2
689,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
690,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
691,Join a Zumba class,"Zumba, Dance, Exercises",2,6
692,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
693,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
694,Write in a journal,"Journaling, Writing, Personal",4,3
695,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
696,Call a family member,"Family, Personal, Communication",3,2
697,Organize digital photo albums,"Photos, Organizing, Personal",5,4
698,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
699,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
700,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
701,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
702,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
703,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
704,Draft an email to the client,"Email, Client, Work",1,5
705,Prepare a weekly progress report,"Progress Report, Work",2,7
706,Attend the project status meeting,"Meeting, Project, Work",3,6
707,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
708,Update the task management system,"Task Management, Updates, Work",4,5
709,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
710,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
711,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
712,Pay utility bills,"Bills, Utilities, Household",1,3
713,Water the plants,"Gardening, Plants, Household",4,2
714,Book a routine health checkup,"Health, Checkup, Appointment",1,4
715,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
716,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
717,Consult a dietitian,"Dietitian, Health, Advice",1,4
718,Track daily water intake,"Hydration, Health, Tracking",4,2
719,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
720,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
721,Join a Zumba class,"Zumba, Dance, Exercises",2,6
722,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
723,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
724,Write in a journal,"Journaling, Writing, Personal",4,3
725,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
726,Call a family member,"Family, Personal, Communication",3,2
727,Organize digital photo albums,"Photos, Organizing, Personal",5,4
728,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
729,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
730,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
731,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
732,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
733,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
734,Draft an email to the client,"Email, Client, Work",1,5
735,Prepare a weekly progress report,"Progress Report, Work",2,7
736,Attend the project status meeting,"Meeting, Project, Work",3,6
737,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
738,Update the task management system,"Task Management, Updates, Work",4,5
739,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
740,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
741,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
742,Pay utility bills,"Bills, Utilities, Household",1,3
743,Water the plants,"Gardening, Plants, Household",4,2
744,Book a routine health checkup,"Health, Checkup, Appointment",1,4
745,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
746,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
747,Consult a dietitian,"Dietitian, Health, Advice",1,4
748,Track daily water intake,"Hydration, Health, Tracking",4,2
749,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
750,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
751,Join a Zumba class,"Zumba, Dance, Exercises",2,6
752,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
753,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
754,Write in a journal,"Journaling, Writing, Personal",4,3
755,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
756,Call a family member,"Family, Personal, Communication",3,2
757,Organize digital photo albums,"Photos, Organizing, Personal",5,4
758,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
759,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
760,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
761,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
762,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
763,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
764,Draft an email to the client,"Email, Client, Work",1,5
765,Prepare a weekly progress report,"Progress Report, Work",2,7
766,Attend the project status meeting,"Meeting, Project, Work",3,6
767,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
768,Update the task management system,"Task Management, Updates, Work",4,5
769,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
770,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
771,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
772,Pay utility bills,"Bills, Utilities, Household",1,3
773,Water the plants,"Gardening, Plants, Household",4,2
774,Book a routine health checkup,"Health, Checkup, Appointment",1,4
775,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
776,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
777,Consult a dietitian,"Dietitian, Health, Advice",1,4
778,Track daily water intake,"Hydration, Health, Tracking",4,2
779,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
780,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
781,Join a Zumba class,"Zumba, Dance, Exercises",2,6
782,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
783,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
784,Write in a journal,"Journaling, Writing, Personal",4,3
785,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
786,Call a family member,"Family, Personal, Communication",3,2
787,Organize digital photo albums,"Photos, Organizing, Personal",5,4
788,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
789,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
790,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
791,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
792,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
793,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
794,Draft an email to the client,"Email, Client, Work",1,5
795,Prepare a weekly progress report,"Progress Report, Work",2,7
796,Attend the project status meeting,"Meeting, Project, Work",3,6
797,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
798,Update the task management system,"Task Management, Updates, Work",4,5
799,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
800,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
801,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
802,Pay utility bills,"Bills, Utilities, Household",1,3
803,Water the plants,"Gardening, Plants, Household",4,2
804,Book a routine health checkup,"Health, Checkup, Appointment",1,4
805,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
806,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
807,Consult a dietitian,"Dietitian, Health, Advice",1,4
808,Track daily water intake,"Hydration, Health, Tracking",4,2
809,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
810,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
811,Join a Zumba class,"Zumba, Dance, Exercises",2,6
812,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
813,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
814,Write in a journal,"Journaling, Writing, Personal",4,3
815,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
816,Call a family member,"Family, Personal, Communication",3,2
817,Organize digital photo albums,"Photos, Organizing, Personal",5,4
818,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
819,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
820,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
821,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
822,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
823,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
824,Draft an email to the client,"Email, Client, Work",1,5
825,Prepare a weekly progress report,"Progress Report, Work",2,7
826,Attend the project status meeting,"Meeting, Project, Work",3,6
827,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
828,Update the task management system,"Task Management, Updates, Work",4,5
829,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
830,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
831,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
832,Pay utility bills,"Bills, Utilities, Household",1,3
833,Water the plants,"Gardening, Plants, Household",4,2
834,Book a routine health checkup,"Health, Checkup, Appointment",1,4
835,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
836,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
837,Consult a dietitian,"Dietitian, Health, Advice",1,4
838,Track daily water intake,"Hydration, Health, Tracking",4,2
839,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
840,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
841,Join a Zumba class,"Zumba, Dance, Exercises",2,6
842,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
843,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
844,Write in a journal,"Journaling, Writing, Personal",4,3
845,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
846,Call a family member,"Family, Personal, Communication",3,2
847,Organize digital photo albums,"Photos, Organizing, Personal",5,4
848,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
849,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
850,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
851,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
852,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
853,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
854,Draft an email to the client,"Email, Client, Work",1,5
855,Prepare a weekly progress report,"Progress Report, Work",2,7
856,Attend the project status meeting,"Meeting, Project, Work",3,6
857,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
858,Update the task management system,"Task Management, Updates, Work",4,5
859,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
860,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
861,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
862,Pay utility bills,"Bills, Utilities, Household",1,3
863,Water the plants,"Gardening, Plants, Household",4,2
864,Book a routine health checkup,"Health, Checkup, Appointment",1,4
865,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
866,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
867,Consult a dietitian,"Dietitian, Health, Advice",1,4
868,Track daily water intake,"Hydration, Health, Tracking",4,2
869,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
870,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
871,Join a Zumba class,"Zumba, Dance, Exercises",2,6
872,Perform weight training for arms,"Weight Training, Strength, Exercises",3,5
873,Go for a 10km cycling session,"Cycling, Endurance, Exercises",1,7
874,Write in a journal,"Journaling, Writing, Personal",4,3
875,Plan the budget for next month,"Budgeting, Planning, Personal",2,5
876,Call a family member,"Family, Personal, Communication",3,2
877,Organize digital photo albums,"Photos, Organizing, Personal",5,4
878,Set personal goals for the year,"Goal Setting, Planning, Personal",1,6
879,Read about machine learning algorithms,"Machine Learning, Algorithms, Study",2,7
880,Solve mathematics practice problems,"Mathematics, Practice, Study",1,6
881,Watch a video lecture on AI,"AI, Video Lecture, Study",3,8
882,Prepare notes on SQL joins,"SQL, Notes, Study",2,5
883,Revise JavaScript concepts for the quiz,"JavaScript, Revision, Study",1,6
884,Draft an email to the client,"Email, Client, Work",1,5
885,Prepare a weekly progress report,"Progress Report, Work",2,7
886,Attend the project status meeting,"Meeting, Project, Work",3,6
887,Design UI mockups for the dashboard,"UI Design, Mockups, Work",2,8
888,Update the task management system,"Task Management, Updates, Work",4,5
889,Organize the wardrobe,"Organizing, Wardrobe, Household",3,4
890,Fix the leaking faucet,"Fixing, Plumbing, Household",2,6
891,Dust and vacuum the living room,"Cleaning, Vacuuming, Household",2,5
892,Pay utility bills,"Bills, Utilities, Household",1,3
893,Water the plants,"Gardening, Plants, Household",4,2
894,Book a routine health checkup,"Health, Checkup, Appointment",1,4
895,Prepare a healthy meal plan for the week,"Meal Plan, Healthy Eating, Health",2,6
896,Meditate for 15 minutes,"Meditation, Relaxation, Health",3,2
897,Consult a dietitian,"Dietitian, Health, Advice",1,4
898,Track daily water intake,"Hydration, Health, Tracking",4,2
899,Do 20 minutes of HIIT workout,"HIIT, Workout, Exercises",2,6
900,Practice stretching exercises,"Stretching, Flexibility, Exercises",3,3
